fecha,intervalo,llamadas_recibidas,llamadas_atendidas,llamadas_abandonadas,nivel_servicio,tmo_segundos,tiempo_espera_seg,asa_seg
2025-03-01,08:00-08:30,45,42,3,88.5,342,18,12
2025-03-01,08:30-09:00,62,55,7,79.2,365,28,22
2025-03-01,09:00-09:30,78,68,10,74.1,388,35,30
2025-03-01,09:30-10:00,85,76,9,80.3,355,25,20
2025-03-01,10:00-10:30,72,67,5,86.7,330,20,15
2025-03-01,10:30-11:00,68,64,4,89.1,318,16,11
2025-03-01,11:00-11:30,55,52,3,90.5,325,14,10
2025-03-01,11:30-12:00,48,46,2,92.0,310,12,8
2025-03-01,12:00-12:30,35,34,1,94.3,298,10,7
2025-03-01,12:30-13:00,30,29,1,93.5,305,11,8
2025-03-01,13:00-13:30,42,39,3,87.2,335,19,14
2025-03-01,13:30-14:00,58,53,5,82.6,350,24,18
2025-03-01,14:00-14:30,75,67,8,76.8,375,32,26
2025-03-01,14:30-15:00,82,73,9,78.4,362,29,23
2025-03-01,15:00-15:30,70,65,5,85.3,340,22,16
2025-03-01,15:30-16:00,60,57,3,88.9,322,17,12
2025-03-01,16:00-16:30,50,48,2,91.2,315,14,9
2025-03-01,16:30-17:00,38,37,1,93.8,300,11,7
2025-03-02,08:00-08:30,48,44,4,86.2,348,20,14
2025-03-02,08:30-09:00,65,57,8,77.5,370,30,24
2025-03-02,09:00-09:30,80,70,10,73.8,392,37,31
2025-03-02,09:30-10:00,88,78,10,79.1,358,26,21
2025-03-02,10:00-10:30,74,69,5,85.5,332,21,16
2025-03-02,10:30-11:00,70,66,4,88.3,320,17,12
2025-03-02,11:00-11:30,58,55,3,89.8,328,15,11
2025-03-02,11:30-12:00,50,48,2,91.5,312,13,9
2025-03-02,12:00-12:30,38,37,1,93.7,302,11,8
2025-03-02,12:30-13:00,33,32,1,93.0,308,12,9
